name,description,type,state,busy_protect,schedule_policy,schedule_failure_policy,time_plan,schedule_links,source_address.type,source_address.ref_custom_address_group,destination_address.type,inbound_link,protocol,tos,position,source_address.address,destination_address.ref_isp_address_group
傲盾备案路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,172.27.250.244-备案,ALL,['ALL'],ALL,0,1,,
傲盾信安路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,172.27.250.242和243[28]信安,ALL,['ALL'],ALL,0,2,,
新湖期货测试,,IPV4,DISABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1802-新湖期货CM'],IP-ADDRESS,,ALL,['ALL'],ALL,0,3,172.27.136.200,
新湖期货-CT,新湖期货-主走电信,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1801-新湖期货CT'],CUSTOM-ADDRESS-GROUP,EIP-新湖期货,ALL,['ALL'],ALL,0,4,,
新湖期货-CM,新湖期货-备走移动,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1802-新湖期货CM'],CUSTOM-ADDRESS-GROUP,EIP-新湖期货,ALL,['ALL'],ALL,0,5,,
宏源期货路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1897-CT-IPV4(公用)', 'vlan1899-CU-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,EIP-宏源期货,ALL,['ALL'],ALL,0,6,,
华源期货路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1897-CT-IPV4(公用)', 'vlan1898-CM-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,EIP-华源期货,ALL,['ALL'],ALL,0,7,,
云财富期货路由,缺省路由负载均衡,IPV4,DISABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1897-CT-IPV4(公用)', 'vlan1898-CM-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,EIP-云财富,ALL,['ALL'],ALL,0,8,,
西部期货路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,"['vlan1899-CU-IPV4(公用)', 'vlan1896-CM-IPV4(公用)']",CUSTOM-ADDRESS-GROUP,EIP-西部期货,ALL,['ALL'],ALL,0,9,,
云财富-CT,云财富主走电信,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-云财富,ALL,['ALL'],ALL,0,10,,
云财富-CM,云财富备走移动,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-云财富,ALL,['ALL'],ALL,0,11,,
长安期货路由,缺省路由负载均衡,IPV4,ENABLE,DISABLE,WEIGHTED-LEAST-FLOW,NEXT-ROUTE,NONE,['vlan1899-CU-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-长安期货,ALL,['ALL'],ALL,0,12,,
