name,state,type,inbound_links,outbound_links,source_address.type,source_address.ref_custom_address_group,destination_address.type,protocol,snat_process.policy,snat_process.source_port,snat_process.translated_address.type,snat_process.translated_address.address,position,source_address.address,snat_process.translated_address.ref_custom_address_group,description,destination_address.address,source_port,destination_port
备案-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,172.27.250.244-备案,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.234,1,,,,,,
信安-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,172.27.250.242和243[28]信安,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.233,2,,,,,,
源转换-信达临时,DISABLE,IPV4,['inside-net9'],['vlan1899-CU-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,172.27.137.191,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,218.28.38.71,3,,,,,,
西部期货-源转换-联通IPV4,ENABLE,IPV4,['inside-net9'],['vlan1899-CU-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-西部期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,218.28.38.68,4,,,,,,
西部期货-源转换-移动IPV4,ENABLE,IPV4,['inside-net9'],['vlan1896-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-西部期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,183.205.158.14,5,,,,,,
新湖期货测试,DISABLE,IPV4,['ALL'],['vlan1802-新湖期货CM'],IP-ADDRESS,,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,39.162.50.71,6,172.27.136.200,,,,,
新湖期货-源转换-电信IPV4,ENABLE,IPV4,['LAN-KIND'],['vlan1801-新湖期货CT'],CUSTOM-ADDRESS-GROUP,EIP-新湖期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,171.15.18.37,7,,,,,,
新湖期货-源转换-移动IPV4,ENABLE,IPV4,['LAN-KIND'],['vlan1802-新湖期货CM'],CUSTOM-ADDRESS-GROUP,EIP-新湖期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,39.162.50.71,8,,,,,,
宏源期货-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-宏源期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.224,9,,,,,,
宏源期货-源转换-联通IPV4,ENABLE,IPV4,['inside-net9'],['vlan1899-CU-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-宏源期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,218.28.38.66,10,,,,,,
中财期货-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-中财期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.223,11,,,,,,
中财期货-源转换-移动IPV4,ENABLE,IPV4,['inside-net9'],['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-中财期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,39.165.248.88,12,,,,,,
华源期货-源转换-电信IPV4,ENABLE,IPV4,['inside-net9'],['vlan1897-CT-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-华源期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,1.192.170.210,13,,,,,,
华源期货-源转换-移动IPV4,ENABLE,IPV4,['inside-net9'],['vlan1898-CM-IPV4(公用)'],CUSTOM-ADDRESS-GROUP,EIP-华源期货,ALL,ALL,HASH-SRCIP-AND-DSTIP,PRESERVE,IP-ADDRESS,39.165.248.22,14,,,,,,
